Source,Season,Production
Wind,Winter,11400
Wind,Winter,7917
Solar,Summer,8835
Wind,Fall,989
Wind,Winter,12526
Solar,Fall,4855
Solar,Spring,3692
Wind,Winter,2156
Wind,Winter,5813
Wind,Fall,6106
Wind,Winter,5515
Wind,Winter,2785
Wind,Winter,8498
Solar,Summer,5561
Wind,Summer,2328
Wind,Summer,6664
Solar,Spring,4993
Wind,Winter,3276
Wind,Summer,1739
Wind,Summer,2083
Wind,Winter,17272
Wind,Spring,12285
Solar,Summer,3480
Wind,Fall,1690
Wind,Fall,11508
Wind,Winter,15692
Solar,Spring,4169
Wind,Spring,3174
Wind,Fall,7314
Solar,Fall,4969
Solar,Spring,9862
Wind,Summer,3862
Wind,Spring,16144
Solar,Spring,8188
Wind,Winter,1710
Wind,Fall,472
Solar,Fall,3402
Solar,Summer,3996
Wind,Summer,1148
Wind,Summer,4062
Wind,Summer,1443
Wind,Spring,13363
Wind,Winter,15609
Wind,Spring,8878
Wind,Spring,2974
Wind,Fall,12324
Wind,Spring,5279
Wind,Winter,3872
Wind,Spring,6406
Solar,Summer,5323
Wind,Winter,7166
Solar,Fall,7117
Wind,Summer,5874
Solar,Spring,4807
Solar,Summer,7976
Solar,Winter,5168
Wind,Spring,4384
Wind,Summer,1465
Wind,Fall,3962
Wind,Summer,6786
Wind,Winter,5553
Wind,Spring,10557
Wind,Spring,10961
Wind,Fall,2160
Wind,Summer,8382
Solar,Summer,3688
Wind,Fall,8209
Wind,Fall,6448
Wind,Fall,2194
Wind,Summer,10173
Wind,Summer,5221
Wind,Summer,2181
Wind,Winter,3143
Wind,Spring,2541
Wind,Fall,4133
Wind,Winter,5020
Wind,Summer,3748
Solar,Summer,13125
Solar,Summer,5096
Wind,Winter,4074
Solar,Summer,7681
Wind,Winter,4820
Wind,Spring,10961
Wind,Winter,14822
Wind,Summer,3376
Wind,Summer,8199
Wind,Summer,10512
Wind,Winter,3869
Wind,Spring,10404
Wind,Winter,3334
Wind,Winter,5042
